Date,Time,Open,High,Low,Close,Volume
2014.09.28,0:00,374,388.9,285,304.6,61833
2014.10.05,0:00,304.8,381.8,295.5,366.8,74202
2014.10.12,0:00,367.1,408.2,362.1,383.1,55730
2014.10.19,0:00,383.1,385.8,337.8,350.5,45401
2014.10.26,0:00,350.5,355.9,319.1,324.4,45939
2014.11.02,0:00,324.5,358.7,319.2,356.2,42974
2014.11.09,0:00,356.1,454,354.4,380.5,79158
2014.11.16,0:00,380.6,406,339.7,366.2,57426
2014.11.23,0:00,365.8,389,354,373.3,49117
2014.11.30,0:00,374,382.3,360.4,368.3,32300
2014.12.07,0:00,368.7,369,332.5,344.3,40165
2014.12.14,0:00,344.4,345,304.1,316.8,57556
2014.12.21,0:00,315.9,334.4,307,311.7,40678
2014.12.28,0:00,311.8,318.1,260,266.2,50039
2015.01.04,0:00,266.2,301,260.1,263.1,62438
2015.01.11,0:00,263.1,269.5,162.6,204,129505
2015.01.18,0:00,204,253.9,203.6,247,73965
2015.01.25,0:00,247,303.3,208,225.3,98659
2015.02.01,0:00,225.1,240.4,212.1,220.6,64025
2015.02.08,0:00,220.5,265.1,213.2,229.4,54773
2015.02.15,0:00,229,243,224.4,229.2,50421
2015.02.22,0:00,229.1,254.1,225,252.1,43147
2015.03.01,0:00,252.2,283,247.9,271.7,59647
2015.03.08,0:00,271.7,299,270.3,280.8,50457
2015.03.15,0:00,280.7,290.9,243,266,51502
2015.03.22,0:00,266.1,269.7,235.4,238.5,62739
2015.03.29,0:00,237.8,255.3,234.1,254,43954
2015.04.05,0:00,254,258.5,228,232.5,44355
2015.04.12,0:00,232.5,234.3,214,220.5,41153
2015.04.19,0:00,220.7,236.6,210.9,217.4,39591
2015.04.26,0:00,217.4,244,215,241.4,52651
2015.05.03,0:00,241.1,247.1,230.1,240,33891
2015.05.10,0:00,239.9,243.8,233.4,235.5,32019
2015.05.17,0:00,235.5,243.6,231.8,242.1,28827
2015.05.24,0:00,242.1,243,231.8,232.1,28375
2015.05.31,0:00,232.1,232.6,222.3,225.9,29417
2015.06.07,0:00,225.9,236,224.9,234.5,25065
2015.06.14,0:00,234.4,256.7,233.6,242.5,57287
2015.06.21,0:00,242.5,250,240.1,246,37057
2015.06.28,0:00,246,270,245.8,266,55012
2015.07.05,0:00,266,310,260.1,304.3,90015
2015.07.12,0:00,304.3,308.4,194.9,268.6,69717
2015.07.19,0:00,268.7,288.7,264.6,286.4,40412
2015.07.26,0:00,286.4,290,275.5,279.2,38920
2015.08.02,0:00,279.3,282.7,252,257.8,42486
2015.08.09,0:00,257.8,269.3,252.6,255.8,43904
2015.08.16,0:00,255.8,258,211.1,221.7,58070
2015.08.23,0:00,221.7,231,192.6,224.2,78646
2015.08.30,0:00,224.1,238,220.7,236,61630
2015.09.06,0:00,236,245.8,226,227.2,52666
2015.09.13,0:00,227.3,234.7,224.8,230.2,39470
2015.09.20,0:00,230.1,236,224,231.3,43795
2015.09.27,0:00,231.3,237.7,230.8,236.1,43960
2015.10.04,0:00,236.1,245,234.9,243.5,54532
2015.10.11,0:00,243.5,273,240.3,258.5,92057
2015.10.18,0:00,258.5,288.9,256.9,280.1,52779
2015.10.25,0:00,280.1,321.2,274.3,308.9,88164
2015.11.01,0:00,308.9,459.2,304.4,360.1,125912
2015.11.08,0:00,360.1,375.9,296,316.3,78970
2015.11.15,0:00,315.2,334,309,320.8,75479
2015.11.22,0:00,320.8,366.5,314.9,363.9,94846
2015.11.29,0:00,364.7,392.3,345,388,103143
2015.12.06,0:00,388,452.7,379.2,432.2,111422
2015.12.13,0:00,432.7,460.5,424,436.2,103350
2015.12.20,0:00,436.2,456.4,401.2,422,101321
2015.12.27,0:00,421.8,434.5,416.4,424.9,105328
2016.01.03,0:00,424.9,455,424.2,443.4,76910
2016.01.10,0:00,443.4,448,349.8,387.7,109869
2016.01.17,0:00,387.7,425.5,374.7,400.6,118588
2016.01.24,0:00,400.6,402.9,366.5,380.7,107851
2016.01.31,0:00,380.6,392.5,365.2,378,107872
2016.02.07,0:00,378,405,374.1,402.1,97062
2016.02.14,0:00,402.8,444.9,397.3,435.6,112486
2016.02.21,0:00,435.6,438.8,413.4,431.6,106916
2016.02.28,0:00,431.6,437.8,394,410.6,113422
2016.03.06,0:00,410.6,422,404.8,414.3,79195
2016.03.13,0:00,414.2,418,404.5,412,107613
2016.03.20,0:00,412.1,426.3,409.5,422.2,103653
2016.03.27,0:00,422.1,423.5,408.3,415.6,109088
2016.04.03,0:00,415.7,421,412,417,114303
2016.04.10,0:00,417,429,414.7,422.7,109065
2016.04.17,0:00,422.7,449.5,419.9,447.3,106860
2016.04.24,0:00,447.3,462.2,435.9,449,132008
2016.05.01,0:00,449,455,439.9,452,126164
2016.05.08,0:00,452,458.2,446.3,456,112786
2016.05.15,0:00,456,459.1,434.9,438.9,107077
2016.05.22,0:00,438.9,544.6,437.9,520.6,122629
2016.05.29,0:00,520.6,578,503.3,563.9,120382
2016.06.05,0:00,562.5,637.3,553.2,632,108839
2016.06.12,0:00,632,744.4,620,726.5,133955
2016.06.19,0:00,726.5,734.5,522.4,611,149101
2016.06.26,0:00,611.1,687.9,600.4,649.1,132509
2016.07.03,0:00,649,665.7,589.6,630.5,142090
2016.07.10,0:00,630.5,669,630.1,665.2,117346
2016.07.17,0:00,665.1,668.5,640.2,653.2,86262
2016.07.24,0:00,653.2,655.3,624.2,627.3,122829
2016.07.31,0:00,627.3,628.2,471.1,588.4,123662
2016.08.07,0:00,588.4,595.4,556.7,564.7,114466
2016.08.14,0:00,564.6,582.1,558.6,577.9,142885
2016.08.21,0:00,578,596.3,567.1,571.3,112890
